bank_successes,certified_by,certified_by_v1,class,confirmed,dose,family,omega,omega_ok,omega_v1,p16,p_hat,partner,rollouts,successes,task_id,wall_s
8,concatenated_expert,,IN-BAND,True,2,Chain,0.0,True,,0.75,0.5,21,16,4,15,330.5
3,by_construction,by_construction,IN-BAND,True,9,F_H,0.375,True,1.0,0.4375,0.5,,16,4,21,56.9
,,,,False,,,,,,,,,,,1,
,,,,False,,,,,,,,,,,2,
,,,,False,,,,,,,,,,,7,
,,,,False,,,,,,,,,,,12,
,,,,False,,,,,,,,,,,13,
,,,,False,,,,,,,,,,,22,
,,,,False,,,,,,,,,,,24,
,,,,False,,,,,,,,,,,25,
,,,,False,,,,,,,,,,,29,
