set,operator_type,n_attempts,n_tasks,mean_SR_c,share_SR_le_0.6,share_in_band,share_accepted,SR_values
S_H,A:block(literal),20,10,"0.930 [0.883, 0.987]","0.050 [0.000, 0.120]","0.000 [0.000, 0.000]","0.100 [0.000, 0.263]",1.0 1.0 0.8 1.0 1.0 1.0 1.0 0.8 1.0 0.8 1.0 1.0 1.0 1.0 0.2 1.0 1.0 1.0 1.0 1.0
S_H,T:nothing_happens,14,10,"0.914 [0.850, 1.000]","0.071 [0.000, 0.214]","0.071 [0.000, 0.214]","0.214 [0.000, 0.333]",0.6 0.8 1.0 1.0 1.0 0.8 0.8 1.0 1.0 0.8 1.0 1.0 1.0 1.0
S_H,O:admissible,7,6,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0 1.0 1.0 1.0 1.0 1.0 1.0
S_H,S0:setup_actions,7,4,"0.971 [0.880, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.143 [0.000, 0.600]",1.0 0.8 1.0 1.0 1.0 1.0 1.0
S_H,T:text_edit,3,3,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0 1.0 1.0
S_H,O:text,3,3,"0.867 [0.600, 1.000]","0.333 [0.000, 1.000]","0.333 [0.000, 1.000]","0.333 [0.000, 1.000]",1.0 1.0 0.6
S_H,T:nothing_happens+random,2,2,"0.900 [0.800, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.500 [0.000, 1.000]",1.0 0.8
S_H,A:block(regex),2,1,"0.900 [0.900, 0.900]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",0.8 1.0
S_H,S0:setup_actions+O:admissible,1,1,"0.400 [0.400, 0.400]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]",0.4
S_H,none,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H,A:block(literal)+O:text,1,1,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",0.0
S_H,T:nothing_happens+random+O:text,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H,A:block(literal)+T:text_edit,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H,A:block(literal)+O:admissible,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H_prime,A:block(literal),22,12,"0.918 [0.864, 0.978]","0.091 [0.000, 0.211]","0.045 [0.000, 0.174]","0.136 [0.000, 0.333]",1.0 1.0 0.8 0.6 1.0 1.0 1.0 1.0 1.0 0.8 1.0 0.8 1.0 1.0 1.0 1.0 0.2 1.0 1.0 1.0 1.0 1.0
S_H_prime,T:nothing_happens,18,12,"0.900 [0.842, 0.971]","0.111 [0.000, 0.235]","0.111 [0.000, 0.235]","0.222 [0.071, 0.333]",0.6 0.8 1.0 1.0 1.0 0.8 0.8 1.0 1.0 1.0 0.8 1.0 1.0 1.0 0.8 0.6 1.0 1.0
S_H_prime,O:admissible,10,8,"0.940 [0.836, 1.000]","0.100 [0.000, 0.273]","0.100 [0.000, 0.273]","0.000 [0.000, 0.000]",1.0 1.0 1.0 1.0 1.0 0.6 0.8 1.0 1.0 1.0
S_H_prime,S0:setup_actions,9,5,"0.822 [0.514, 1.000]","0.222 [0.000, 0.667]","0.111 [0.000, 0.333]","0.222 [0.000, 0.571]",1.0 0.2 0.4 0.8 1.0 1.0 1.0 1.0 1.0
S_H_prime,T:text_edit,4,4,"0.950 [0.850, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",0.8 1.0 1.0 1.0
S_H_prime,O:text,4,4,"0.900 [0.700, 1.000]","0.250 [0.000, 0.750]","0.250 [0.000, 0.750]","0.250 [0.000, 0.750]",1.0 1.0 1.0 0.6
S_H_prime,T:nothing_happens+random,2,2,"0.900 [0.800, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.500 [0.000, 1.000]",1.0 0.8
S_H_prime,A:block(literal)+T:text_edit,2,2,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0 1.0
S_H_prime,A:block(regex),2,1,"0.900 [0.900, 0.900]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",0.8 1.0
S_H_prime,S0:setup_actions+O:admissible,1,1,"0.400 [0.400, 0.400]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]",0.4
S_H_prime,none,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H_prime,A:block(literal)+O:text,1,1,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",0.0
S_H_prime,T:nothing_happens+random+O:text,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
S_H_prime,A:block(literal)+O:admissible,1,1,"1.000 [1.000, 1.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.0
