task_id,type,regime,n_doses_tried,hit,hit_dose,rollouts_to_hit,total_rollouts,ceiling_class_last_feasible,F_S0_max_feasible_class,F_O_max_feasible_class,n_infeasible,n_uncertified,cert_sources
1,pick_clean_then_place_in_recep,qwen,5,False,,,20,ZERO,NOEFFECT,ZERO,0,1,F_S0:1=R_pol F_S0:2=R_pol F_S0:3=uncertified F_O:0.5=R_pol F_O:1.0=R_pol
2,pick_two_obj_and_place,qwen,5,False,,,8,ZERO,none-feasible,ZERO,2,1,F_S0:1=uncertified F_O:0.5=R_pol F_O:1.0=R_pol
7,pick_and_place_simple,qwen,5,False,,,12,ZERO,NOEFFECT,ZERO,2,0,F_S0:1=R_exp F_O:0.5=R_pol F_O:1.0=R_pol
12,pick_two_obj_and_place,qwen,5,False,,,8,ZERO,none-feasible,ZERO,3,0,F_O:0.5=R_pol F_O:1.0=R_pol
13,pick_clean_then_place_in_recep,qwen,5,False,,,16,ZERO,NOEFFECT,ZERO,1,0,F_S0:1=R_pol F_S0:2=R_pol F_O:0.5=R_pol F_O:1.0=R_pol
15,pick_cool_then_place_in_recep,qwen,5,False,,,12,ZERO,NOEFFECT,ZERO,0,2,F_S0:1=R_exp F_S0:2=uncertified F_S0:3=uncertified F_O:0.5=R_pol F_O:1.0=R_pol
21,pick_and_place_simple,qwen,5,True,F_O:0.5,20,24,ZERO,NOEFFECT,ZERO,0,0,F_S0:1=R_pol F_S0:2=R_pol F_S0:3=R_pol F_O:0.5=R_pol F_O:1.0=R_pol
22,pick_two_obj_and_place,qwen,5,False,,,8,ZERO,none-feasible,ZERO,0,3,F_S0:1=uncertified F_S0:2=uncertified F_S0:3=uncertified F_O:0.5=R_pol F_O:1.0=R_pol
24,pick_cool_then_place_in_recep,qwen,5,False,,,12,ZERO,NOEFFECT,ZERO,0,2,F_S0:1=uncertified F_S0:2=R_exp F_S0:3=uncertified F_O:0.5=R_pol F_O:1.0=R_pol
25,look_at_obj_in_light,qwen,5,False,,,8,ZERO,none-feasible,ZERO,3,0,F_O:0.5=R_pol F_O:1.0=R_pol
29,pick_clean_then_place_in_recep,qwen,5,False,,,16,ZERO,NOEFFECT,ZERO,1,0,F_S0:1=R_pol F_S0:2=R_pol F_O:0.5=R_pol F_O:1.0=R_pol
