consumer,label,env,arm,n,unlocked,rate,ci_lo,ci_hi,rate_minus_fAA
pro,L0,E_c12,A2,1,1,1.000,1.000,1.000,0.816
pro,L1,E_c12,A2,26,4,0.154,0.038,0.308,-0.030
pro,L2,E_c12,A2,6,2,0.333,0.000,0.667,0.149
pro,L?,E_c12,A2,5,1,0.200,0.000,0.600,0.016
pro,all_zero,E_c12,A2,38,8,0.211,0.079,0.342,0.026
pro,L0,E_off,A3,1,0,0.000,0.000,0.000,-0.184
pro,L1,E_off,A3,26,4,0.154,0.038,0.308,-0.030
pro,L2,E_off,A3,6,0,0.000,0.000,0.000,-0.184
pro,L?,E_off,A3,5,2,0.400,0.000,0.800,0.216
pro,all_zero,E_off,A3,38,6,0.158,0.053,0.289,-0.026
pro,L0,E_all,A4,1,0,0.000,0.000,0.000,-0.184
pro,L1,E_all,A4,26,4,0.154,0.038,0.308,-0.030
pro,L2,E_all,A4,6,2,0.333,0.000,0.667,0.149
pro,L?,E_all,A4,5,1,0.200,0.000,0.600,0.016
pro,all_zero,E_all,A4,38,7,0.184,0.079,0.316,0.000
flash,L0,E_all,A8,1,0,0.000,0.000,0.000,-0.184
flash,L1,E_all,A8,24,6,0.250,0.083,0.417,0.066
flash,L2,E_all,A8,8,4,0.500,0.125,0.875,0.316
flash,L?,E_all,A8,4,3,0.750,0.250,1.000,0.566
flash,all_zero,E_all,A8,37,13,0.351,0.216,0.514,0.167
