task_id,n_attempts,validation_rollouts,n_accept,rollouts_per_accept,best_SR_c_closest_to_band,best_in_band,accepted_SR_c
0,2,10,1,10.0,0.6,True,0.8
1,5,25,1,25.0,0.8,False,0.8
2,2,10,1,10.0,0.4,True,0.4
3,3,15,1,15.0,0.4,True,0.4
4,4,20,1,20.0,0.8,False,0.8
5,3,15,1,15.0,0.8,False,0.8
6,1,5,1,5.0,0.6,True,0.6
7,5,25,0,,1.0,False,
8,5,25,0,,1.0,False,
9,5,25,0,,1.0,False,
10,3,15,1,15.0,0.4,True,0.4
11,5,25,0,,0.2,False,
12,5,25,1,25.0,0.8,False,0.8
13,5,25,0,,0.2,False,
14,2,10,1,10.0,0.6,True,0.6
15,2,10,1,10.0,0.8,False,0.8
16,3,15,1,15.0,0.6,True,0.6
18,1,5,1,5.0,0.4,True,0.4
19,5,25,1,25.0,0.4,True,0.4
20,3,15,1,15.0,0.8,False,0.8
21,4,20,1,20.0,0.4,True,0.4
22,5,25,0,,0.8,False,
23,5,25,1,25.0,0.6,True,0.6
24,5,25,0,,1.0,False,
25,5,25,0,,1.0,False,
26,1,5,1,5.0,0.6,True,0.6
27,2,10,1,10.0,0.6,True,0.6
28,5,25,0,,1.0,False,
29,5,25,0,,1.0,False,
