arm,axis,n,R_old_ok,R_old_not_run,R_exp_ok_among_R_old_fail,R_hint_run,R_hint_ok_among_R_exp_fail,certified,unresolved,usd_R_hint_total,usd_R_hint_per_hint_certified
H,A,30,19,1,7/11,13,4/4,30,0,0.0962,0.0241
H,A+O,3,1,0,0/2,2,0/2,1,2,0.1466,
H,A+T,2,1,0,0/1,1,1/1,2,0,0.0034,0.0034
H,O,27,26,1,0/1,5,1/1,27,0,0.2182,0.2182
H,S0,9,8,1,0/1,1,1/1,9,0,0.0038,0.0038
H,S0+O,1,0,1,0/1,1,1/1,1,0,0.0194,0.0194
H,T,32,23,9,0/9,11,9/9,32,0,0.1574,0.0175
H,T+O,1,1,0,0/0,0,0/0,1,0,0,
H,none,1,0,1,0/1,1,1/1,1,0,0.0066,0.0066
released,S0,13,12,1,0/1,2,1/1,13,0,0.0193,0.0193
released,T,5,4,1,0/1,1,1/1,5,0,0.0042,0.0042
