task_id,type,p8_flash,p16_pro,n_flash
0,pick_cool_then_place_in_recep,1.0,1.0,8
1,pick_clean_then_place_in_recep,1.0,1.0,8
2,pick_two_obj_and_place,1.0,0.9375,8
3,pick_clean_then_place_in_recep,1.0,0.75,8
4,pick_two_obj_and_place,0.75,1.0,8
5,pick_two_obj_and_place,0.375,0.875,8
6,pick_clean_then_place_in_recep,0.875,0.6875,8
7,pick_and_place_simple,1.0,1.0,8
8,pick_clean_then_place_in_recep,0.875,1.0,8
9,look_at_obj_in_light,1.0,1.0,8
10,pick_heat_then_place_in_recep,0.875,0.125,8
11,pick_cool_then_place_in_recep,0.125,0.1875,8
12,pick_two_obj_and_place,1.0,0.875,8
13,pick_clean_then_place_in_recep,1.0,0.9375,8
14,look_at_obj_in_light,1.0,0.375,8
15,pick_cool_then_place_in_recep,1.0,1.0,8
16,pick_two_obj_and_place,1.0,0.75,8
17,pick_clean_then_place_in_recep,0.875,1.0,8
18,pick_heat_then_place_in_recep,0.875,0.0,8
19,pick_heat_then_place_in_recep,0.75,0.0625,8
20,pick_clean_then_place_in_recep,1.0,0.8125,8
21,pick_and_place_simple,1.0,0.1875,8
22,pick_two_obj_and_place,1.0,0.8125,8
23,pick_two_obj_and_place,0.75,0.9375,8
24,pick_cool_then_place_in_recep,1.0,1.0,8
25,look_at_obj_in_light,1.0,1.0,8
26,pick_cool_then_place_in_recep,0.375,0.4375,8
27,pick_cool_then_place_in_recep,0.5,0.5,8
28,pick_cool_then_place_in_recep,1.0,0.875,8
29,pick_clean_then_place_in_recep,1.0,1.0,8
