task_id,n_attempts,classes,ended_with_accept,inband_rejected,task_class
0,2,INBAND NOEFFECT,True,True,NOEFFECT-dominated
1,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
2,2,NOEFFECT INBAND,True,False,NOEFFECT-dominated
3,3,OVERSHOOT NOEFFECT INBAND,True,False,MIXED
4,4,NOEFFECT NOEFFECT NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
5,3,NOEFFECT NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
6,1,INBAND,True,False,MIXED
7,5,NOEFFECT ZERO NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
8,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
9,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
12,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
13,5,NOEFFECT NOEFFECT NOEFFECT OVERSHOOT NOEFFECT,False,False,NOEFFECT-dominated
15,2,NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
16,3,NOEFFECT NOEFFECT INBAND,True,False,NOEFFECT-dominated
17,0,,False,False,SKIPPED(no validated attempt)
20,3,NOEFFECT NOEFFECT NOEFFECT,True,False,NOEFFECT-dominated
23,5,INBAND NOEFFECT NOEFFECT NOEFFECT INBAND,True,True,NOEFFECT-dominated
24,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
25,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
28,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
29,5,NOEFFECT NOEFFECT NOEFFECT NOEFFECT NOEFFECT,False,False,NOEFFECT-dominated
