task_id,round,budget,phase,rollouts,search_total,cap,infra_errors,status
10,0,search,estimate,10,14,30,0,open
10,0,search,probe,4,14,30,0,open
14,0,search,estimate,10,30,30,0,open
14,0,search,probe,20,30,30,0,open
17,0,search,estimate,10,30,30,0,open
17,0,search,probe,20,30,30,0,open
18,0,search,estimate,10,26,30,0,open
18,0,search,probe,16,26,30,0,open
20,0,search,estimate,10,14,30,0,open
20,0,search,probe,4,14,30,0,open
27,0,search,estimate,10,14,30,0,open
27,0,search,probe,4,14,30,0,open
