task_id,budget,phase,n,refunded
8,search,estimate,10,0
8,search,probe,20,0
9,search,estimate,10,0
9,search,probe,16,0
10,search,estimate,10,0
10,search,probe,12,0
11,search,estimate,10,0
14,search,estimate,10,0
14,search,probe,20,0
17,search,estimate,10,0
17,search,probe,20,0
20,search,estimate,10,0
20,search,probe,20,0
27,search,estimate,10,0
27,search,probe,16,0
18,search,estimate,16,0
18,search,probe,12,0
0,search,estimate,10,0
0,search,probe,20,0
6,search,estimate,12,0
4,search,estimate,8,0
16,search,estimate,12,0
19,search,estimate,16,0
26,search,estimate,8,0
5,search,estimate,8,0
3,search,dose:action_dropout,4,0
3,search,dose:footer_mask,16,0
3,search,estimate,10,0
28,search,dose:observation_noise,20,0
28,search,estimate,10,0
2,search,dose:observation_noise_insertion,20,0
2,search,estimate,10,0
21,search,dose:action_permutation,4,0
21,search,dose:observation_noise,8,0
21,search,estimate,16,0
1,search,dose:observation_noise,20,0
1,search,estimate,10,0
7,search,dose:command_permute_mask,4,0
7,search,dose:footer_mask,12,0
7,search,dose:reward_decay,4,0
7,search,estimate,10,0
12,search,dose:footer_mask,16,0
12,search,dose:reward_echo,4,0
12,search,estimate,10,0
13,search,dose:footer_mask,20,0
13,search,estimate,10,0
15,search,dose:footer_mask,20,0
15,search,estimate,10,0
22,search,dose:action_alias_swap,4,0
22,search,dose:footer_mask,12,0
22,search,dose:reward_echo_perturb,4,0
22,search,estimate,10,0
23,search,dose:command_swap,12,0
23,search,estimate,16,0
24,search,dose:command_noise_swap,8,0
24,search,estimate,10,0
25,search,dose:command_permutation,4,0
25,search,dose:footer_mask,12,0
25,search,dose:noise_observations,4,0
25,search,estimate,10,0
29,search,dose:footer_mask,16,0
29,search,dose:reward_noise,4,0
29,search,estimate,10,0
