task_id,budget,phase,n,refunded
8,search,estimate,10,0
8,search,probe,20,0
9,search,estimate,10,0
9,search,probe,16,0
10,search,estimate,10,0
10,search,probe,4,0
11,search,estimate,10,0
14,search,estimate,10,0
14,search,probe,20,0
17,search,estimate,10,0
17,search,probe,20,0
20,search,estimate,10,0
20,search,probe,16,0
27,search,estimate,10,0
27,search,probe,20,0
18,search,estimate,10,0
18,search,probe,20,0
0,search,estimate,16,0
0,search,probe,12,0
6,search,estimate,10,0
4,search,estimate,8,0
16,search,estimate,8,0
19,search,dose:action_alias_permute,4,0
19,search,dose:footer_mask,4,0
19,search,dose:reward_noise_scale,4,0
19,search,estimate,16,0
26,search,estimate,6,0
5,search,estimate,8,0
3,search,dose:command_permute,4,0
3,search,dose:footer_mask,4,0
3,search,dose:reward_delay,4,0
3,search,estimate,16,0
28,search,dose:footer_shuffle,12,0
28,search,estimate,16,0
2,search,dose:command_scramble,4,0
2,search,dose:footer_mask,12,0
2,search,dose:reward_noise,4,0
2,search,estimate,10,0
21,search,dose:footer_mask,16,0
21,search,dose:reward_perturb,4,0
21,search,estimate,10,0
1,search,dose:goal_obfuscation,20,0
1,search,estimate,10,0
7,search,dose:command_typo,20,0
7,search,estimate,10,0
12,search,dose:action_dropout,4,0
12,search,dose:action_typo,4,0
12,search,dose:footer_mask,12,0
12,search,estimate,10,0
13,search,dose:command_alias_swap,20,0
13,search,estimate,10,0
15,search,dose:action_delay,4,0
15,search,dose:footer_mask,16,0
15,search,estimate,10,0
22,search,dose:command_obfuscation,8,0
22,search,dose:footer_mask,12,0
22,search,estimate,10,0
23,search,dose:command_alias_obfuscation,4,0
23,search,dose:footer_mask,16,0
23,search,estimate,10,0
24,search,dose:command_alias_shift,4,0
24,search,dose:footer_mask,12,0
24,search,dose:success_label_noise,4,0
24,search,estimate,10,0
25,search,dose:action_alias_shift,4,0
25,search,dose:observation_noise_typos,16,0
25,search,estimate,10,0
29,search,dose:footer_mask,16,0
29,search,dose:observation_noise,4,0
29,search,estimate,10,0
