task_id	status	valid_successes	valid_episodes	requested_executions	invalid_returned_executions	recovered_provider_errors	recovered_episode_executions	ledger_usd	retained_failed_reservation_usd
150	NON_ZERO	1	1	1	0	1	0	0.0021746919999999998	0.002769208
151	NON_ZERO	1	1	1	0	1	0	0.001250535	0.0025547470000000004
152	NON_ZERO	1	1	1	0	0	0	0.002689752	0
153	NON_ZERO	1	1	1	0	0	0	0.020890688	0
154	CONFIRMED_ZERO	0	16	16	0	116	0	1.473525274	0.743309372
155	NON_ZERO	1	2	2	0	19	0	0.056040634000000006	0.058230016
156	NON_ZERO	1	1	1	0	3	0	0.023685532000000002	0.009987744
157	NON_ZERO	1	1	1	0	1	0	0.014394211	0.004304599
158	CONFIRMED_ZERO	0	16	16	0	88	0	1.5914176850000001	0.6559859020000001
159	CONFIRMED_ZERO	0	16	16	0	33	0	1.4936698270000002	0.25337317200000004
160	NON_ZERO	1	2	2	0	2	0	0.065899028	0.003972488
161	NON_ZERO	1	1	1	0	0	0	0.0044400590000000005	0
162	INFRA_INCONCLUSIVE	0	11	12	1	10	0	1.413069268	0.09715163900000001
