arm,task_id,budget,rollouts
R,0,search,10
R,1,search,10
R,2,search,5
R,3,search,10
R,4,search,10
R,5,search,10
R,6,search,5
R,7,search,5
R,8,search,10
R,9,search,10
R,10,search,10
R,11,search,15
R,12,search,10
R,13,search,10
R,14,search,5
R,15,search,10
R,16,search,10
R,17,search,5
R,18,search,10
R,19,search,10
R,20,search,25
R,21,search,10
R,22,search,10
R,23,search,10
R,24,search,10
R,25,search,10
R,26,search,10
R,27,search,5
R,28,search,10
R,29,search,10
G,0,search,25
G,1,search,30
G,2,search,25
G,3,search,30
G,4,search,30
G,5,search,25
G,6,search,30
G,7,search,30
G,8,search,30
G,9,search,30
G,10,search,30
G,11,search,30
G,12,search,30
G,13,search,30
G,14,search,30
G,15,search,30
G,16,search,30
G,17,search,30
G,18,search,30
G,19,search,30
G,20,search,30
G,21,search,30
G,22,search,30
G,23,search,30
G,24,search,15
G,25,search,30
G,26,search,30
G,27,search,10
G,28,search,30
G,29,search,30
Gplus,0,search,25
Gplus,1,search,30
Gplus,2,search,30
Gplus,3,search,30
Gplus,4,search,20
Gplus,5,search,15
Gplus,6,search,30
Gplus,7,search,30
Gplus,8,search,25
Gplus,9,search,30
Gplus,10,search,25
Gplus,11,search,30
Gplus,12,search,30
Gplus,13,search,30
Gplus,14,search,25
Gplus,15,search,30
Gplus,16,search,30
Gplus,17,search,30
Gplus,18,search,30
Gplus,19,search,30
Gplus,20,search,30
Gplus,21,search,30
Gplus,22,search,30
Gplus,23,search,30
Gplus,24,search,30
Gplus,25,search,30
Gplus,26,search,30
Gplus,27,search,10
Gplus,28,search,30
Gplus,29,search,30
A,0,search,30
A,1,search,28
A,2,search,30
A,3,search,29
A,4,search,28
A,5,search,28
A,6,search,30
A,7,search,30
A,8,search,6
A,9,search,30
A,10,search,30
A,11,search,16
A,12,search,30
A,13,search,30
A,14,search,8
A,15,search,8
A,16,search,30
A,17,search,30
A,18,search,30
A,19,search,30
A,20,search,30
A,21,search,30
A,22,search,30
A,23,search,30
A,24,search,6
A,25,search,26
A,26,search,16
A,27,search,8
A,28,search,28
A,29,search,30
Aex,0,search,30
Aex,1,search,28
Aex,2,search,28
Aex,3,search,30
Aex,4,search,26
Aex,5,search,16
Aex,6,search,30
Aex,7,search,30
Aex,8,search,28
Aex,9,search,30
Aex,10,search,28
Aex,11,search,10
Aex,12,search,30
Aex,13,search,30
Aex,14,search,8
Aex,15,search,8
Aex,16,search,30
Aex,17,search,30
Aex,18,search,28
Aex,19,search,16
Aex,20,search,30
Aex,21,search,30
Aex,22,search,30
Aex,23,search,30
Aex,24,search,8
Aex,25,search,18
Aex,26,search,6
Aex,27,search,12
Aex,28,search,8
Aex,29,search,30
AplusH,0,search,30
AplusH,1,search,28
AplusH,2,search,30
AplusH,3,search,29
AplusH,4,search,28
AplusH,5,search,28
AplusH,6,search,30
AplusH,7,search,30
AplusH,8,search,6
AplusH,9,search,30
AplusH,10,search,30
AplusH,11,search,16
AplusH,12,search,30
AplusH,13,search,30
AplusH,14,search,8
AplusH,15,search,8
AplusH,16,search,30
AplusH,17,search,30
AplusH,18,search,30
AplusH,19,search,30
AplusH,20,search,30
AplusH,21,search,30
AplusH,22,search,30
AplusH,23,search,30
AplusH,24,search,6
AplusH,25,search,26
AplusH,26,search,16
AplusH,27,search,8
AplusH,28,search,28
AplusH,29,search,30
O,0,search,30
O,1,search,30
O,2,search,30
O,3,search,30
O,4,search,30
O,5,search,30
O,6,search,30
O,7,search,30
O,8,search,30
O,9,search,30
O,10,search,30
O,11,search,30
O,12,search,30
O,13,search,30
O,14,search,30
O,15,search,30
O,16,search,30
O,17,search,30
O,18,search,30
O,19,search,30
O,20,search,30
O,21,search,30
O,22,search,30
O,23,search,30
O,24,search,30
O,25,search,30
O,26,search,30
O,27,search,30
O,28,search,30
O,29,search,30
