task_id,round,budget,phase,rollouts,search_total,cap,infra_errors,status
0,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
0,0,search,estimate,10,30,30,0,budget_cap_hit
1,0,search,dose:footer_mask,12,28,30,0,budget_cap_hit
1,0,search,estimate,16,28,30,0,budget_cap_hit
10,0,search,dose:footer_mask,12,28,30,0,budget_cap_hit
10,0,search,estimate,16,28,30,0,budget_cap_hit
11,0,search,estimate,10,10,30,0,open
12,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
12,0,search,estimate,10,30,30,0,budget_cap_hit
13,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
13,0,search,estimate,10,30,30,0,budget_cap_hit
14,0,search,estimate,8,8,30,0,open
15,0,search,estimate,8,8,30,0,open
16,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
16,0,search,estimate,10,30,30,0,budget_cap_hit
17,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
17,0,search,estimate,10,30,30,0,budget_cap_hit
18,0,search,dose:footer_mask,12,28,30,0,open
18,0,search,estimate,16,28,30,0,open
19,0,search,estimate,16,16,30,0,open
2,0,search,dose:footer_mask,12,28,30,0,budget_cap_hit
2,0,search,estimate,16,28,30,0,budget_cap_hit
20,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
20,0,search,estimate,10,30,30,0,budget_cap_hit
21,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
21,0,search,estimate,10,30,30,0,budget_cap_hit
22,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
22,0,search,estimate,10,30,30,0,budget_cap_hit
23,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
23,0,search,estimate,10,30,30,0,budget_cap_hit
24,0,search,estimate,8,8,30,0,open
25,0,search,dose:footer_mask,8,18,30,0,open
25,0,search,estimate,10,18,30,0,open
26,0,search,estimate,6,6,30,0,open
27,0,search,estimate,12,12,30,0,open
28,0,search,estimate,8,8,30,0,open
29,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
29,0,search,estimate,10,30,30,0,budget_cap_hit
3,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
3,0,search,estimate,10,30,30,0,budget_cap_hit
4,0,search,dose:footer_mask,16,26,30,0,open
4,0,search,estimate,10,26,30,0,open
5,0,search,estimate,16,16,30,0,open
6,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
6,0,search,estimate,10,30,30,0,budget_cap_hit
7,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
7,0,search,estimate,10,30,30,0,budget_cap_hit
8,0,search,dose:footer_mask,12,28,30,0,budget_cap_hit
8,0,search,estimate,16,28,30,0,budget_cap_hit
9,0,search,dose:footer_mask,20,30,30,0,budget_cap_hit
9,0,search,estimate,10,30,30,0,budget_cap_hit
