task_id,round,budget,phase,rollouts,search_total,cap,infra_errors,status
0,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
0,0,search,dose:inventory_obscure,4,30,30,0,budget_cap_hit
0,0,search,estimate,10,30,30,0,budget_cap_hit
1,0,search,dose:observation_noise_in_text,12,28,30,0,budget_cap_hit
1,0,search,estimate,16,28,30,0,budget_cap_hit
10,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
10,0,search,dose:obscure_inventory,4,30,30,0,budget_cap_hit
10,0,search,dose:slowdown_penalty,4,30,30,0,budget_cap_hit
10,0,search,estimate,10,30,30,0,budget_cap_hit
11,0,search,estimate,16,16,30,0,open
12,0,search,dose:TextVagueness,4,30,30,0,budget_cap_hit
12,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
12,0,search,estimate,10,30,30,0,budget_cap_hit
13,0,search,dose:footer_mask,8,30,30,0,budget_cap_hit
13,0,search,dose:observation_noise_injection,8,30,30,0,budget_cap_hit
13,0,search,dose:reward_delay,4,30,30,0,budget_cap_hit
13,0,search,estimate,10,30,30,0,budget_cap_hit
14,0,search,estimate,8,8,30,0,open
15,0,search,estimate,8,8,30,0,open
16,0,search,dose:action_latency,4,30,30,0,budget_cap_hit
16,0,search,dose:command_obfuscation,4,30,30,0,budget_cap_hit
16,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
16,0,search,estimate,10,30,30,0,budget_cap_hit
17,0,search,dose:action_latency_delay,20,30,30,0,budget_cap_hit
17,0,search,estimate,10,30,30,0,budget_cap_hit
18,0,search,dose:action_latency,4,30,30,0,budget_cap_hit
18,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
18,0,search,dose:observation_blur,4,30,30,0,budget_cap_hit
18,0,search,estimate,10,30,30,0,budget_cap_hit
19,0,search,dose:action_delay_penalty,8,30,30,0,budget_cap_hit
19,0,search,dose:footer_mask,8,30,30,0,budget_cap_hit
19,0,search,dose:text_noise_injection,4,30,30,0,budget_cap_hit
19,0,search,estimate,10,30,30,0,budget_cap_hit
2,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
2,0,search,dose:observation_noise,4,30,30,0,budget_cap_hit
2,0,search,estimate,10,30,30,0,budget_cap_hit
20,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
20,0,search,dose:text_obfuscation,4,30,30,0,budget_cap_hit
20,0,search,estimate,10,30,30,0,budget_cap_hit
21,0,search,dose:action_delay_penalty,4,30,30,0,budget_cap_hit
21,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
21,0,search,dose:observation_noise_in_admissible_commands,4,30,30,0,budget_cap_hit
21,0,search,estimate,10,30,30,0,budget_cap_hit
22,0,search,dose:action_latency_delay,4,30,30,0,budget_cap_hit
22,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
22,0,search,dose:observation_noise_injection,4,30,30,0,budget_cap_hit
22,0,search,estimate,10,30,30,0,budget_cap_hit
23,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
23,0,search,dose:observation_jitter,4,30,30,0,budget_cap_hit
23,0,search,estimate,10,30,30,0,budget_cap_hit
24,0,search,estimate,6,6,30,0,open
25,0,search,dose:action_delay,4,26,30,0,open
25,0,search,dose:footer_mask,8,26,30,0,open
25,0,search,dose:object_obfuscation,4,26,30,0,open
25,0,search,estimate,10,26,30,0,open
26,0,search,estimate,16,16,30,0,open
27,0,search,estimate,8,8,30,0,open
28,0,search,dose:action_latency,8,28,30,0,budget_cap_hit
28,0,search,dose:observation_blurring,4,28,30,0,budget_cap_hit
28,0,search,estimate,16,28,30,0,budget_cap_hit
29,0,search,dose:action_delay_penalty,4,30,30,0,budget_cap_hit
29,0,search,dose:footer_mask,12,30,30,0,budget_cap_hit
29,0,search,dose:text_noise_injection,4,30,30,0,budget_cap_hit
29,0,search,estimate,10,30,30,0,budget_cap_hit
3,0,search,dose:distractor_injections,4,29,30,0,budget_cap_hit
3,0,search,dose:footer_mask,12,29,30,0,budget_cap_hit
3,0,search,estimate,10,29,30,0,budget_cap_hit
3,0,search,hint:input_latency,3,29,30,0,budget_cap_hit
4,0,search,dose:action_latency_penalty,4,28,30,0,budget_cap_hit
4,0,search,dose:distractor_text_injection,4,28,30,0,budget_cap_hit
4,0,search,dose:footer_mask,4,28,30,0,budget_cap_hit
4,0,search,estimate,16,28,30,0,budget_cap_hit
5,0,search,dose:ObservationNoise,4,28,30,0,budget_cap_hit
5,0,search,dose:StochasticDelay,4,28,30,0,budget_cap_hit
5,0,search,dose:footer_mask,4,28,30,0,budget_cap_hit
5,0,search,estimate,16,28,30,0,budget_cap_hit
6,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
6,0,search,dose:time_dilation,4,30,30,0,budget_cap_hit
6,0,search,estimate,10,30,30,0,budget_cap_hit
7,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
7,0,search,dose:text_scramble,4,30,30,0,budget_cap_hit
7,0,search,estimate,10,30,30,0,budget_cap_hit
8,0,search,estimate,6,6,30,0,open
9,0,search,dose:footer_mask,16,30,30,0,budget_cap_hit
9,0,search,dose:text_obfuscation,4,30,30,0,budget_cap_hit
9,0,search,estimate,10,30,30,0,budget_cap_hit
