task_id,episode_id,t,kind,staged_len,probe_successes,probe_n,p4,class,tag
8,6353684edf,50,L,41,3,4,0.75,learnable,p5chs-8-6353684edf-50
8,b48f2bb409,50,L,38,0,4,0.0,dead,p5chs-8-b48f2bb409-50
8,b48f2bb409,38,3L/4,31,1,4,0.25,learnable,p5chs-8-b48f2bb409-38
8,b48f2bb409,25,L/2,23,0,4,0.0,dead,p5chs-8-b48f2bb409-25
8,b48f2bb409,13,L/4,14,0,4,0.0,dead,p5chs-8-b48f2bb409-13
8,7e048535e0,12,L/4,9,0,4,0.0,dead,p5chs-8-7e048535e0-12
9,61cfdf7066,50,L,50,3,4,0.75,learnable,p5chs-9-61cfdf7066-50
9,cd27c4f008,50,L,50,2,4,0.5,learnable,p5chs-9-cd27c4f008-50
9,e4b69a5708,50,L,50,3,4,0.75,learnable,p5chs-9-e4b69a5708-50
9,e4b69a5708,38,3L/4,38,2,4,0.5,learnable,p5chs-9-e4b69a5708-38
9,e4b69a5708,25,L/2,25,4,4,1.0,saturated,p5chs-9-e4b69a5708-25
9,e4b69a5708,13,L/4,13,4,4,1.0,saturated,p5chs-9-e4b69a5708-13
10,bf621a2c31,50,L,17,1,4,0.25,learnable,p5chs-10-bf621a2c31-50
10,bf621a2c31,38,3L/4,15,0,4,0.0,dead,p5chs-10-bf621a2c31-38
10,bf621a2c31,25,L/2,15,1,4,0.25,learnable,p5chs-10-bf621a2c31-25
10,bf621a2c31,13,L/4,13,0,4,0.0,dead,p5chs-10-bf621a2c31-13
10,c8a00bc67b,8,3L/4,9,0,4,0.0,dead,p5chs-10-c8a00bc67b-8
10,c8a00bc67b,3,L/4,4,0,4,0.0,dead,p5chs-10-c8a00bc67b-3
11,0f5a29091f,1,L,2,0,4,0.0,dead,p5chs-11-0f5a29091f-1
11,7fbda3f9de,1,L,2,0,4,0.0,dead,p5chs-11-7fbda3f9de-1
11,cdad228a3f,1,L,2,0,4,0.0,dead,p5chs-11-cdad228a3f-1
14,5a1b19310d,50,L,50,0,4,0.0,dead,p5chs-14-5a1b19310d-50
14,db3013da7c,50,L,51,0,4,0.0,dead,p5chs-14-db3013da7c-50
14,e15d9f1a06,50,L,50,0,4,0.0,dead,p5chs-14-e15d9f1a06-50
14,e15d9f1a06,38,3L/4,39,0,4,0.0,dead,p5chs-14-e15d9f1a06-38
14,e15d9f1a06,25,L/2,25,0,4,0.0,dead,p5chs-14-e15d9f1a06-25
14,e15d9f1a06,13,L/4,14,0,4,0.0,dead,p5chs-14-e15d9f1a06-13
17,88268360cc,50,L,49,0,4,0.0,dead,p5chs-17-88268360cc-50
17,bdad0a7b8c,50,L,43,0,4,0.0,dead,p5chs-17-bdad0a7b8c-50
17,d987692845,50,L,49,0,4,0.0,dead,p5chs-17-d987692845-50
17,d987692845,38,3L/4,37,0,4,0.0,dead,p5chs-17-d987692845-38
17,d987692845,25,L/2,24,0,4,0.0,dead,p5chs-17-d987692845-25
17,d987692845,13,L/4,13,0,4,0.0,dead,p5chs-17-d987692845-13
20,13df6f637a,50,L,43,0,4,0.0,dead,p5chs-20-13df6f637a-50
20,cad4cab2a3,39,3L/4,35,0,4,0.0,dead,p5chs-20-cad4cab2a3-39
20,8a405c582c,38,3L/4,34,0,4,0.0,dead,p5chs-20-8a405c582c-38
20,cad4cab2a3,25,L/2,22,0,4,0.0,dead,p5chs-20-cad4cab2a3-25
20,8a405c582c,18,L/2,17,0,4,0.0,dead,p5chs-20-8a405c582c-18
20,cad4cab2a3,13,L/4,14,4,4,1.0,saturated,p5chs-20-cad4cab2a3-13
27,44b03a4408,50,L,51,2,4,0.5,learnable,p5chs-27-44b03a4408-50
27,62d8c82130,50,L,50,4,4,1.0,saturated,p5chs-27-62d8c82130-50
27,6acfcf6fed,50,L,51,3,4,0.75,learnable,p5chs-27-6acfcf6fed-50
27,6acfcf6fed,38,3L/4,39,3,4,0.75,learnable,p5chs-27-6acfcf6fed-38
27,6acfcf6fed,25,L/2,26,1,4,0.25,learnable,p5chs-27-6acfcf6fed-25
27,6acfcf6fed,13,L/4,14,3,4,0.75,learnable,p5chs-27-6acfcf6fed-13
