task_id,type,family,dose,rollouts,successes,p_hat,class,certified_by
1,pick_clean_then_place_in_recep,F_S0,1,4,4,1.0,NOEFFECT,R_pol
1,pick_clean_then_place_in_recep,F_S0,2,4,4,1.0,NOEFFECT,R_pol
1,pick_clean_then_place_in_recep,F_O,0.5,8,7,0.875,NOEFFECT,R_pol
1,pick_clean_then_place_in_recep,F_O,1.0,4,0,0.0,ZERO,R_pol
2,pick_two_obj_and_place,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
2,pick_two_obj_and_place,F_O,1.0,4,0,0.0,ZERO,R_pol
7,pick_and_place_simple,F_S0,1,4,4,1.0,NOEFFECT,R_exp
7,pick_and_place_simple,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
7,pick_and_place_simple,F_O,1.0,4,0,0.0,ZERO,R_pol
12,pick_two_obj_and_place,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
12,pick_two_obj_and_place,F_O,1.0,4,0,0.0,ZERO,R_pol
13,pick_clean_then_place_in_recep,F_S0,1,4,4,1.0,NOEFFECT,R_pol
13,pick_clean_then_place_in_recep,F_S0,2,4,4,1.0,NOEFFECT,R_pol
13,pick_clean_then_place_in_recep,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
13,pick_clean_then_place_in_recep,F_O,1.0,4,0,0.0,ZERO,R_pol
15,pick_cool_then_place_in_recep,F_S0,1,4,4,1.0,NOEFFECT,R_exp
15,pick_cool_then_place_in_recep,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
15,pick_cool_then_place_in_recep,F_O,1.0,4,0,0.0,ZERO,R_pol
21,pick_and_place_simple,F_S0,1,4,4,1.0,NOEFFECT,R_pol
21,pick_and_place_simple,F_S0,2,4,4,1.0,NOEFFECT,R_pol
21,pick_and_place_simple,F_S0,3,4,4,1.0,NOEFFECT,R_pol
21,pick_and_place_simple,F_O,0.5,8,5,0.625,IN-BAND,R_pol
21,pick_and_place_simple,F_O,1.0,4,0,0.0,ZERO,R_pol
22,pick_two_obj_and_place,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
22,pick_two_obj_and_place,F_O,1.0,4,0,0.0,ZERO,R_pol
24,pick_cool_then_place_in_recep,F_S0,2,4,4,1.0,NOEFFECT,R_exp
24,pick_cool_then_place_in_recep,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
24,pick_cool_then_place_in_recep,F_O,1.0,4,0,0.0,ZERO,R_pol
25,look_at_obj_in_light,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
25,look_at_obj_in_light,F_O,1.0,4,0,0.0,ZERO,R_pol
29,pick_clean_then_place_in_recep,F_S0,1,4,4,1.0,NOEFFECT,R_pol
29,pick_clean_then_place_in_recep,F_S0,2,4,4,1.0,NOEFFECT,R_pol
29,pick_clean_then_place_in_recep,F_O,0.5,4,4,1.0,NOEFFECT,R_pol
29,pick_clean_then_place_in_recep,F_O,1.0,4,0,0.0,ZERO,R_pol
