task_id,family,dose,rollouts,successes,p_hat,class,certified_by
1,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
1,F_O,0.875,4,4,1.0,NOEFFECT,R_exp
1,F_O,0.9375,4,0,0.0,ZERO,R_exp
1,F_O,0.9062,4,4,1.0,NOEFFECT,R_exp
1,F_H,18,4,4,1.0,NOEFFECT,R_exp_by_construction
1,F_H,15,4,4,1.0,NOEFFECT,R_exp_by_construction
1,F_H,12,4,4,1.0,NOEFFECT,R_exp_by_construction
1,F_S0p,1,4,4,1.0,NOEFFECT,R_exp
2,F_O,0.75,8,1,0.125,OVERSHOOT,R_exp
2,F_O,0.625,4,0,0.0,ZERO,R_exp
2,F_O,0.5625,4,4,1.0,NOEFFECT,R_exp
2,F_O,0.5938,8,6,0.75,NEAR,R_exp
2,F_S0p,1,4,4,1.0,NOEFFECT,R_exp
2,F_S0p,2,8,7,0.875,NOEFFECT,R_exp
7,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
7,F_O,0.875,4,4,1.0,NOEFFECT,R_exp
7,F_O,0.9375,4,4,1.0,NOEFFECT,R_exp
7,F_O,0.9688,4,4,1.0,NOEFFECT,R_exp
7,F_H,13,8,5,0.625,IN-BAND,R_exp_by_construction
12,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
12,F_O,0.875,8,5,0.625,IN-BAND,R_exp
13,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
13,F_O,0.875,8,3,0.375,IN-BAND,R_exp
15,F_O,0.75,8,4,0.5,IN-BAND,R_exp
21,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
21,F_O,0.875,8,5,0.625,IN-BAND,R_exp
22,F_O,0.75,8,4,0.5,IN-BAND,R_post_hoc
24,F_O,0.75,8,7,0.875,NOEFFECT,R_exp
24,F_O,0.875,4,4,1.0,NOEFFECT,R_exp
24,F_O,0.9375,4,0,0.0,ZERO,R_exp
24,F_O,0.9062,4,4,1.0,NOEFFECT,R_exp
24,F_H,40,4,4,1.0,NOEFFECT,R_exp_by_construction
24,F_H,37,4,4,1.0,NOEFFECT,R_exp_by_construction
24,F_H,34,4,4,1.0,NOEFFECT,R_exp_by_construction
24,F_S0p,1,4,4,1.0,NOEFFECT,R_exp
24,F_S0p,2,4,4,1.0,NOEFFECT,R_exp
25,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
25,F_O,0.875,8,7,0.875,NOEFFECT,R_exp
25,F_O,0.9375,4,4,1.0,NOEFFECT,R_exp
25,F_O,0.9688,4,4,1.0,NOEFFECT,R_exp
25,F_H,30,4,4,1.0,NOEFFECT,R_exp_by_construction
25,F_H,27,4,4,1.0,NOEFFECT,R_exp_by_construction
25,F_H,24,4,4,1.0,NOEFFECT,R_exp_by_construction
29,F_O,0.75,4,4,1.0,NOEFFECT,R_exp
29,F_O,0.875,4,4,1.0,NOEFFECT,R_exp
29,F_O,0.9375,4,4,1.0,NOEFFECT,R_exp
29,F_O,0.9688,8,5,0.625,IN-BAND,R_exp
