task_id,type,p16_qwen,n_qwen,p16_pro,p8_flash,inadmissible_rate,cap50_share,mean_steps
0,pick_cool_then_place_in_recep,0.0625,16,1.0,1.0,0.2029,0.9375,47.4
1,pick_clean_then_place_in_recep,1.0,16,1.0,1.0,0.0,0.0,9.0
2,pick_two_obj_and_place,1.0,16,0.9375,1.0,0.105,0.0,14.9
3,pick_clean_then_place_in_recep,0.875,16,0.75,1.0,0.0375,0.125,15.0
4,pick_two_obj_and_place,0.75,16,1.0,0.75,0.281,0.25,32.2
5,pick_two_obj_and_place,0.625,16,0.875,0.375,0.0176,0.375,42.5
6,pick_clean_then_place_in_recep,0.5,16,0.6875,0.875,0.0644,0.5,40.8
7,pick_and_place_simple,1.0,16,1.0,1.0,0.0,0.0,10.4
8,pick_clean_then_place_in_recep,0.0,16,1.0,0.875,0.2213,1.0,50.0
9,look_at_obj_in_light,0.0,16,1.0,1.0,0.0,1.0,50.0
10,pick_heat_then_place_in_recep,0.0,16,0.125,0.875,0.185,1.0,50.0
11,pick_cool_then_place_in_recep,0.0,16,0.1875,0.125,0.2412,1.0,50.0
12,pick_two_obj_and_place,1.0,16,0.875,1.0,0.0,0.0,11.5
13,pick_clean_then_place_in_recep,1.0,16,0.9375,1.0,0.0,0.0,27.1
14,look_at_obj_in_light,0.0,16,0.375,1.0,0.005,1.0,50.0
15,pick_cool_then_place_in_recep,1.0,16,1.0,1.0,0.0506,0.0,19.8
16,pick_two_obj_and_place,0.5,16,0.75,1.0,0.4466,0.5,42.7
17,pick_clean_then_place_in_recep,0.0,16,1.0,0.875,0.2013,1.0,50.0
18,pick_heat_then_place_in_recep,0.0625,16,0.0,0.875,0.36,0.9375,50.0
19,pick_heat_then_place_in_recep,0.875,16,0.0625,0.75,0.0821,0.125,46.4
20,pick_clean_then_place_in_recep,0.0,16,0.8125,1.0,0.1663,1.0,50.0
21,pick_and_place_simple,1.0,16,0.1875,1.0,0.0051,0.0,12.2
22,pick_two_obj_and_place,1.0,16,0.8125,1.0,0.0,0.0,13.0
23,pick_two_obj_and_place,0.9375,16,0.9375,0.75,0.2049,0.0625,23.2
24,pick_cool_then_place_in_recep,1.0,16,1.0,1.0,0.0,0.0,9.0
25,look_at_obj_in_light,1.0,16,1.0,1.0,0.0,0.0,5.0
26,pick_cool_then_place_in_recep,0.5,16,0.4375,0.375,0.0881,0.5,48.2
27,pick_cool_then_place_in_recep,0.0,16,0.5,0.5,0.0013,1.0,50.0
28,pick_cool_then_place_in_recep,0.5,16,0.875,1.0,0.0025,0.5,49.4
29,pick_clean_then_place_in_recep,1.0,16,1.0,1.0,0.0,0.0,8.0
