2026-09-06T04:45:02Z p1_start  n_tasks=30 k=16 conc=6 phase=p1_map
2026-09-06T04:45:41Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=3 seed=0 duration_ms=38580 success=True reward=1.0 steps=9 error=None
2026-09-06T04:48:07Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=4 seed=0 duration_ms=184992 success=False reward=0.0 steps=50 error=None
2026-09-06T04:48:08Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=5 seed=0 duration_ms=185798 success=False reward=0.0 steps=50 error=None
2026-09-06T04:48:11Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=0 seed=0 duration_ms=189054 success=False reward=0.0 steps=50 error=None
2026-09-06T04:48:41Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=1 seed=0 duration_ms=218929 success=False reward=0.0 steps=50 error=None
2026-09-06T04:49:33Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=2 seed=0 duration_ms=271407 success=False reward=0.0 steps=50 error=None
2026-09-06T04:50:21Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=6 seed=0 duration_ms=280889 success=False reward=0.0 steps=50 error=None
2026-09-06T04:51:24Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=8 seed=0 duration_ms=196252 success=False reward=0.0 steps=50 error=None
2026-09-06T04:51:28Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=7 seed=0 duration_ms=200953 success=False reward=0.0 steps=50 error=None
2026-09-06T04:51:30Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=9 seed=0 duration_ms=198584 success=False reward=0.0 steps=50 error=None
2026-09-06T04:51:56Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=10 seed=0 duration_ms=195193 success=False reward=0.0 steps=50 error=None
2026-09-06T04:52:39Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=11 seed=0 duration_ms=185417 success=False reward=0.0 steps=50 error=None
2026-09-06T04:54:21Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=15 seed=0 duration_ms=171575 success=False reward=0.0 steps=50 error=None
2026-09-06T04:54:23Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=13 seed=0 duration_ms=178881 success=False reward=0.0 steps=50 error=None
2026-09-06T04:54:23Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=12 seed=0 duration_ms=242105 success=False reward=0.0 steps=50 error=None
2026-09-06T04:55:02Z rollout_done  iteration_id=baseline-0000 attempt=0 candidate_id=baseline rollout=14 seed=0 duration_ms=214027 success=False reward=0.0 steps=50 error=None
2026-09-06T04:55:02Z p1_task_done  task_idx=0 task_id=0 k=16 sr=0.062 n_errors=0 wall_s=600.0
2026-09-06T04:55:32Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=1 seed=1 duration_ms=29704 success=True reward=1.0 steps=9 error=None
2026-09-06T04:55:32Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=0 seed=1 duration_ms=29743 success=True reward=1.0 steps=9 error=None
2026-09-06T04:55:32Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=4 seed=1 duration_ms=29754 success=True reward=1.0 steps=9 error=None
2026-09-06T04:55:34Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=2 seed=1 duration_ms=32207 success=True reward=1.0 steps=9 error=None
2026-09-06T04:55:35Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=3 seed=1 duration_ms=32902 success=True reward=1.0 steps=9 error=None
2026-09-06T04:55:35Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=5 seed=1 duration_ms=33487 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:00Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=8 seed=1 duration_ms=28448 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:01Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=6 seed=1 duration_ms=29592 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:02Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=7 seed=1 duration_ms=30207 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:02Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=9 seed=1 duration_ms=27847 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:02Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=10 seed=1 duration_ms=27673 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:04Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=11 seed=1 duration_ms=28806 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:29Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=14 seed=1 duration_ms=26893 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:29Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=15 seed=1 duration_ms=27201 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:31Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=13 seed=1 duration_ms=29707 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:31Z rollout_done  iteration_id=baseline-0001 attempt=0 candidate_id=baseline rollout=12 seed=1 duration_ms=30932 success=True reward=1.0 steps=9 error=None
2026-09-06T04:56:31Z p1_task_done  task_idx=1 task_id=1 k=16 sr=1.0 n_errors=0 wall_s=89.1
2026-09-06T04:57:12Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=0 seed=2 duration_ms=40514 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:13Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=1 seed=2 duration_ms=41835 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:13Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=4 seed=2 duration_ms=41950 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:13Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=3 seed=2 duration_ms=42303 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:29Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=2 seed=2 duration_ms=58343 success=True reward=1.0 steps=17 error=None
2026-09-06T04:57:53Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=7 seed=2 duration_ms=39843 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:53Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=9 seed=2 duration_ms=39737 success=True reward=1.0 steps=12 error=None
2026-09-06T04:57:53Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=8 seed=2 duration_ms=40412 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:06Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=6 seed=2 duration_ms=54740 success=True reward=1.0 steps=17 error=None
2026-09-06T04:58:12Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=10 seed=2 duration_ms=42549 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:30Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=11 seed=2 duration_ms=37272 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:30Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=13 seed=2 duration_ms=36870 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:32Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=12 seed=2 duration_ms=38560 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:43Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=14 seed=2 duration_ms=37131 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:45Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=5 seed=2 duration_ms=133970 success=True reward=1.0 steps=48 error=None
2026-09-06T04:58:50Z rollout_done  iteration_id=baseline-0002 attempt=0 candidate_id=baseline rollout=15 seed=2 duration_ms=38401 success=True reward=1.0 steps=12 error=None
2026-09-06T04:58:50Z p1_task_done  task_idx=2 task_id=2 k=16 sr=1.0 n_errors=0 wall_s=139.3
2026-09-06T04:59:17Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=1 seed=3 duration_ms=26638 success=True reward=1.0 steps=8 error=None
2026-09-06T04:59:17Z rollout_done  iteration_id=baseline-0003 attempt=0 candidate_id=baseline rollout=3 seed=3 duration_ms=27077 success=True reward=1.0 steps=8 error=None
