task,instruction_type,W_pass,W_a_reason,h,n_cells,n_formula,sub_recalc_vs_raw,H_sub,H_off,H_off_authentic,label_pro,label_flash,label_pro_AA,p_A1,n_A1,p_A1p,n_A1p,p_A2,n_A2,p_A3,n_A3,p_A4,n_A4,p_A5,n_A5,p_A6,n_A6,p_A7,n_A7,p_A8,n_A8,A1_as_E_sub,A1_as_E_c12,A1_as_E_off,A1_as_E_all
455-35,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
51354,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
48527,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
50631,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
43657,,,,,,,,restate,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
10747,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
45896,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
50088,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
53161,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
32337,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
52541,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
408-39,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
398-14,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
18935,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
183-8,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
51359,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
374-31,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
40757,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
50521,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
52216,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
531-18,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
493-5,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
46167,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
209-30,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
9448,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
48608,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
49196,,,,,,,,restate,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
52917,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
54717,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
55976,,,,,,,,fail,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
423-16,,,,,,,,restate,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
57590,,,,,,,,pass,,,n/a,n/a,n/a,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
