trajectory_id,task_id,T_eval,L_1,L_any3,L_maj3,monotone_1,monotone_any3,monotone_maj3,flips,n_prefix
extra:2dadd7ec60,2,50,15,38,17,0,0,0,13,51
extra:a2c2261a94,3,50,2,2,2,1,1,1,0,51
rigger:0623438ea7,5,50,33,33,-1,0,0,1,4,51
rigger:b395c95252,6,50,1,1,1,1,1,1,0,51
extra:e784e6fb12,10,50,2,2,2,1,1,1,0,51
extra:901d97ec2c,11,50,28,28,28,1,1,1,0,51
extra:7824e55ebd,12,50,30,43,30,0,0,0,26,51
extra:c7056d11f5,13,50,27,27,27,0,1,1,8,51
extra:ff93e7e071,14,50,38,38,38,0,0,0,10,51
extra:26c2deeb76,16,50,36,43,32,0,0,0,28,51
rigger:b73f78ce54,18,50,44,44,44,0,0,0,3,51
extra:8c7297f0e2,19,50,45,45,45,0,0,0,0,51
extra:fd2766231a,20,50,14,14,14,1,1,1,0,51
extra:016b7a7f43,21,50,3,26,23,1,0,0,7,51
extra:4ad2c03c54,22,50,30,33,27,0,0,0,14,51
rigger:005ef3ddc6,23,50,6,7,7,0,1,0,7,51
extra:4d9f84624f,26,50,44,44,44,0,0,0,0,51
rigger:79a513289d,27,50,43,43,43,1,1,1,0,51
extra:8cf5d6814d,28,50,39,39,39,1,1,1,0,51
rigger:cac83ef399,26,50,44,44,44,0,0,0,1,51
rigger:b2321e2326,3,50,3,3,3,1,1,1,0,51
rigger:bb82a894a5,11,50,2,2,2,1,1,1,0,51
rigger:ea6a89e75a,27,50,2,2,2,1,1,1,0,51
rigger:6710e8f0ed,21,50,33,33,3,0,0,1,12,51
extra:4a7c6b7e7b,20,50,44,44,44,1,1,1,0,51
extra:949317b4cf,22,50,-1,-1,-1,1,1,1,0,51
extra:a2b43d45a2,6,50,6,6,6,1,1,1,0,51
extra:6ab9b9d530,16,50,33,43,21,0,0,0,31,51
extra:ac718999df,12,50,41,41,30,0,0,0,24,51
rigger:98ab418c6a,18,50,15,19,15,0,0,0,2,51
rigger:51baba9405,10,50,2,2,2,1,1,1,0,51
rigger:2482dc54e8,5,50,25,30,-1,0,0,1,3,51
rigger:b0046fedb5,14,50,30,32,29,0,1,0,8,51
rigger:cbeed062f5,28,50,45,45,45,0,0,0,2,51
extra:812c2b663c,19,50,45,45,45,0,0,0,1,51
