task_id,attempt,candidate_id,axis,SR_c,class,decision,certified
0,1,4d2e413d,T,0.6,INBAND,refine,True
0,2,320f421f,T,0.8,NOEFFECT,accept,True
1,1,86cb060a,O,1.0,NOEFFECT,reject,True
1,2,d6e7996b,A,1.0,NOEFFECT,reject,True
1,3,53e168d9,S0,1.0,NOEFFECT,reject,True
1,4,1bb2ecca,A,1.0,NOEFFECT,refine,True
1,5,78db26fa,A,0.8,NOEFFECT,accept,True
2,1,51dfbe6f,T,1.0,NOEFFECT,reject,True
2,2,3279820c,S0+O,0.4,INBAND,accept,True
3,1,b9c16c09,S0,0.2,OVERSHOOT,reject,True
3,2,e3555e94,T,0.8,NOEFFECT,reject,True
3,3,ff78d1aa,S0,0.4,INBAND,accept,True
4,1,41d0ea39,T,1.0,NOEFFECT,reject,True
4,2,1014adcf,T,1.0,NOEFFECT,reject,True
4,3,e499f77b,none,1.0,NOEFFECT,reject,True
4,4,7752bf69,S0,0.8,NOEFFECT,accept,True
5,1,ef9a6fd1,T,1.0,NOEFFECT,reject,True
5,2,185ce75c,T,0.8,NOEFFECT,reject,True
5,3,e3e70a4a,T,0.8,NOEFFECT,accept,True
6,1,7c1fa8d4,A,0.6,INBAND,accept,True
7,1,e1d5baf3,A,1.0,NOEFFECT,reject,True
7,2,f97fab98,A+O,0.0,ZERO,reject,False
7,3,323eae53,O,1.0,NOEFFECT,reject,True
7,4,38db4481,A,1.0,NOEFFECT,reject,True
7,5,080dbebe,A,1.0,NOEFFECT,reject,True
8,1,bb5c8108,A,1.0,NOEFFECT,reject,True
8,2,0f30a784,O,1.0,NOEFFECT,reject,True
8,3,fbeb88a2,T,1.0,NOEFFECT,reject,True
8,4,c6d1bb1c,T,1.0,NOEFFECT,reject,True
8,5,f8ceae28,O,1.0,NOEFFECT,reject,True
9,1,56803e98,A+T,1.0,NOEFFECT,reject,True
9,2,f0794d29,O,1.0,NOEFFECT,reject,True
9,3,3a9f0886,A,1.0,NOEFFECT,reject,True
9,4,130c702f,T,1.0,NOEFFECT,reject,True
9,5,8963805e,O,1.0,NOEFFECT,reject,True
12,1,be7b1999,O,1.0,NOEFFECT,refine,True
12,2,6e1b767f,T,1.0,NOEFFECT,reject,True
12,3,16a4ca15,A,0.8,NOEFFECT,refine,True
12,4,1580e59d,A,1.0,NOEFFECT,reject,True
12,5,05e51f7f,T,0.8,NOEFFECT,accept,True
13,1,c0c006c0,A,1.0,NOEFFECT,reject,True
13,2,565422bc,A,1.0,NOEFFECT,reject,True
13,3,9230a632,A,1.0,NOEFFECT,reject,True
13,4,a3fbceb2,A,0.2,OVERSHOOT,refine,True
13,5,54e69c46,A,1.0,NOEFFECT,reject,True
15,1,b56a1efc,T,1.0,NOEFFECT,reject,True
15,2,65718c65,A,0.8,NOEFFECT,accept,True
16,1,68f432b8,A,0.8,NOEFFECT,refine,True
16,2,f9ac3ad5,A,1.0,NOEFFECT,refine,True
16,3,884a6d7a,O,0.6,INBAND,accept,True
20,1,0780497d,T+O,1.0,NOEFFECT,reject,True
20,2,cbb27a3c,T,1.0,NOEFFECT,reject,True
20,3,c2836a3d,T,0.8,NOEFFECT,accept,True
23,1,c0f523ce,O,0.6,INBAND,refine,True
23,2,090b6a28,O,0.8,NOEFFECT,reject,True
23,3,b335df2c,T,1.0,NOEFFECT,reject,True
23,4,2c3ebf4f,T,0.8,NOEFFECT,reject,True
23,5,76ee5ca5,T,0.6,INBAND,accept,True
24,1,fbbe7793,S0,1.0,NOEFFECT,reject,True
24,2,ff48e30f,A,1.0,NOEFFECT,reject,True
24,3,180c5548,S0,1.0,NOEFFECT,reject,True
24,4,d44c31f8,S0,1.0,NOEFFECT,reject,True
24,5,a004df5a,T,1.0,NOEFFECT,reject,True
25,1,6921d14d,A,1.0,NOEFFECT,reject,True
25,2,2e92794b,T,1.0,NOEFFECT,reject,True
25,3,6b104cc4,A+T,1.0,NOEFFECT,reject,True
25,4,34e9dbac,O,1.0,NOEFFECT,reject,True
25,5,28215f10,T,1.0,NOEFFECT,reject,True
28,1,3d4d8fa9,A,1.0,NOEFFECT,reject,True
28,2,cec63a1e,O,1.0,NOEFFECT,reject,True
28,3,42f8a147,A+O,1.0,NOEFFECT,reject,True
28,4,bcde9de5,A,1.0,NOEFFECT,reject,True
28,5,fe569e5f,O,1.0,NOEFFECT,reject,True
29,1,975dc38f,T,1.0,NOEFFECT,reject,True
29,2,601fe47c,S0,1.0,NOEFFECT,reject,True
29,3,b07dfe95,A,1.0,NOEFFECT,reject,True
29,4,4231faa8,O,1.0,NOEFFECT,reject,True
29,5,11055248,S0,1.0,NOEFFECT,reject,True
